Unnamed: 0,Date,Headline,Category,TextBlob_Sentiment,VADER_Sentiment,BERT_Sentiment_Label,BERT_Sentiment_Score
0,01/26/2012,Mother Nature Raps Natural Gas,Markets,0.1,0.3612,4,0.2939448058605194
1,06/15/2007,Subprime Woes Pinch Bear's Mortgage Star,US Business News,0.0,-0.4404,0,0.2870872914791107
2,01/24/2011,Facebook Alters Tool in German Privacy Deal,Technology,0.0,0.0,0,0.5178561210632324
3,02/20/2014,EU Ministers Clear Sanctions on Ukraine,World News,0.09999999999999999,0.3818,3,0.22878310084342957
4,01/09/2011,Authorities Seek Possible Associate of Suspect,Politics,0.0,-0.296,0,0.4291858375072479
5,09/16/2010,EU Cuts Tariffs to Aid Pakistan,Europe,0.0,-0.296,0,0.3527500629425049
6,01/27/2019,US Removes Rusal From Sanctions List ,Politics,0.0,0.0,0,0.6100510954856873
7,02/27/2018,A New GOP Entitlement ,Review & Outlook,0.13636363636363635,0.0,4,0.3963342308998108
8,06/26/2002,WorldCom Scandal Roils World Markets,Europe Markets,0.0,-0.4404,0,0.5500160455703735
9,07/06/2016,Another Iraq War Rehash,Review & Outlook,-0.05,-0.5994,0,0.2910568118095398
10,10/06/2015,Peet’s Coffee & Tea to Buy Stumptown Coffee,Business,0.0,0.0,4,0.45782577991485596
11,01/13/2006,France T&eacutel&eacutecom Faces Tough 2006,Technology,-0.3888888888888889,-0.128,4,0.3610292375087738
12,07/15/2015,Rio Tinto Trims Iron-Ore Export Target,Commodities,0.0,0.0,4,0.4497251510620117
13,11/16/2020,Airbnb Turns Deep Cutbacks Into a Profit Ahead of IPO,Business,0.0,0.4404,4,0.22460626065731049
14,10/11/2016,Supreme Court Weighs Juror Racial Bias Against Candid Deliberations ,US,0.6,0.4939,0,0.6743001341819763
15,08/10/2006,KT&G to Raise Buybacks Dividends,US Business News,0.0,0.0,4,0.2916451096534729
16,04/28/2014,Texas Boom Traffic Water Woes,US,0.0,-0.4404,2,0.2523514926433563
17,06/23/2006,Home Depot's Options Focus of Inquiry,US Business News,0.0,0.0,3,0.36908093094825745
18,07/26/1998,Pakistan Assures Bhutto Won't Be Arrested when She Returns to Country,World-Wide,0.0,0.5932,0,0.5833313465118408
19,01/17/2010,Electric Bikes Terrorize China's Streets ,World,0.0,-0.6486,4,0.31606823205947876
20,05/09/2001,Siemens Comments on Phone Sales,Tech Center,0.0,0.0,3,0.25404661893844604
21,12/13/2002,Micromuse Chief Joins Motorola,Technology,0.0,0.0,4,0.4354335367679596
22,08/20/2008,Power Plays,The Afternoon Report,0.0,0.25,4,0.5637717843055725
23,05/12/2019,‘Overrun’ Review Too Many Fish to Fry,Bookshelf,0.5,0.0,0,0.647911548614502
24,03/25/2017,Obamacare Lives But the Health-Care Bull Is Mortal ,Heard on the Street,0.0,0.0,0,0.41092345118522644
25,10/12/2013,Kerry Makes Progress in Afghan Talks,World News,0.0,0.4215,3,0.43700936436653137
26,03/17/2011,Senate Approves Stopgap Funding,Politics,0.0,0.4019,0,0.36799976229667664
27,10/18/2012,Silicon Valley Reboots,Photos,0.0,0.0,4,0.3556259274482727
28,06/09/2010,Urban Gardening,Photos,0.0,0.0,3,0.371677428483963
29,03/19/2011,Ragtop Road Monster,Photos,0.0,0.0,4,0.3162306845188141
30,12/08/2003,The Rhythm Method Gets an Update,Health,0.0,0.0,3,0.3426834046840668
31,12/16/2004,It's Policy Not Poetry,Opinion,0.0,0.0,0,0.4710664451122284
32,08/14/2015,American Flag Raised at US Embassy in Havana,Latin America,0.0,0.0,4,0.38327956199645996
33,06/30/2011,FBI Raids Ohio Home in Hacker Case,US,0.0,0.0,0,0.3265690207481384
34,10/11/2010,Vulture funds struggle,Business,0.0,-0.6486,4,0.2411251813173294
