headline,pub_date,url,word_count,news_desk,source
U.S. Labels Chinese Language Education Group a Diplomatic Mission,2020-08-13T22:14:24+0000,https://www.nytimes.com/2020/08/13/us/politics/state-department-confucius-institutes.html,899,Washington,The New York Times
Obama (Privately) Slams Trump,2020-07-30T11:26:42+0000,https://www.nytimes.com/2020/07/30/us/politics/obama-fundraising-biden.html,1499,Politics,The New York Times
"Interest Rates Are Low, but Loans Are Harder to Get. Here’s Why.",2020-08-04T15:29:25+0000,https://www.nytimes.com/2020/08/04/your-money/mortgage-loans-credit-cards-coronavirus.html,1362,Business,The New York Times
What’s on TV Monday: ‘The Voice’ and ‘Gentefied’,2020-02-24T06:00:06+0000,https://www.nytimes.com/2020/02/24/arts/television/whats-on-tv-monday-the-voice-and-gentefied.html,427,Culture,The New York Times
Episode Four: ‘Here’s Another Fun Thing You Can Do’,2020-08-13T10:00:04+0000,https://www.nytimes.com/2020/08/13/podcasts/nice-white-parents-school.html,216,Podcasts,The New York Times
Wonder Woman and Her Evolving Look,2020-12-29T15:00:10+0000,https://www.nytimes.com/2020/12/29/movies/wonder-woman-1984-costumes.html,942,Culture,The New York Times
Lawmakers Say Puff Bar Used Pandemic to Market to Teens,2020-06-02T22:12:03+0000,https://www.nytimes.com/2020/06/02/health/puff-bar-teens.html,817,Science,The New York Times
California hospitals face twin crises of capacity and ‘moral distress.’,2020-12-22T17:27:26+0000,https://www.nytimes.com/2020/12/22/world/california-hospitals-face-twin-crises-of-capacity-and-moral-distress.html,374,Foreign,The New York Times
Michael Flynn Moves to Withdraw Guilty Plea in About-Face After Extensive Cooperation,2020-01-15T02:22:14+0000,https://www.nytimes.com/2020/01/14/us/politics/michael-flynn-withdraws-guilty-plea.html,796,Washington,The New York Times
Phillies-Blue Jays Games Postponed After 2 Staff Members Test Positive,2020-07-30T19:12:30+0000,https://www.nytimes.com/2020/07/30/sports/baseball/phillies-blue-jays-postponed-coronavirus.html,850,Sports,The New York Times
"In Lebanon, Macron Dangles Sanctions to Push for Change",2020-09-01T16:01:48+0000,https://www.nytimes.com/2020/09/01/world/middleeast/lebanon-macron-sanctions.html,908,Foreign,The New York Times
How to Stock Your Liquor Cabinet,2020-04-24T17:38:28+0000,https://www.nytimes.com/2020/04/24/dining/drinks/virus-stocking-liquor-cabinet-bar.html,1032,AtHome,The New York Times
Elizabeth Warren Confronts the Skeptics Who Fear Her Plans Go Too Far,2020-01-15T19:12:58+0000,https://www.nytimes.com/2020/01/15/us/politics/elizabeth-warren-iowa.html,1717,Politics,The New York Times
Georgia Senator Is Criticized for Ad Enlarging Jewish Opponent’s Nose,2020-07-28T01:54:11+0000,https://www.nytimes.com/2020/07/27/us/politics/jon-ossoff-david-perdue-ad.html,604,Politics,The New York Times
New York and New Jersey join a growing list of states with contact-tracing apps residents can use.,2020-10-01T18:04:22+0000,https://www.nytimes.com/2020/10/01/world/new-york-and-new-jersey-join-a-growing-list-of-states-with-contact-tracing-apps-residents-can-use.html,286,Foreign,The New York Times
Behind the ‘Love Is Blind’ Wall,2020-03-13T10:00:12+0000,https://www.nytimes.com/2020/03/13/fashion/weddings/behind-the-love-is-blind-wall.html,1614,Styles,The New York Times
Cancer Death Rate in U.S. Sees Sharpest One-Year Drop,2020-01-08T12:00:08+0000,https://www.nytimes.com/2020/01/08/health/cancer-deaths-decline.html,769,Science,The New York Times
Coronavirus Briefing: What Happened Today,2020-04-03T23:21:42+0000,https://www.nytimes.com/2020/04/03/us/coronavirus-today.html,1301,NYTNow,The New York Times
Deer Overpopulation Meets Its Match: Women Who Hunt,2020-02-06T10:00:23+0000,https://www.nytimes.com/2020/02/06/nyregion/deer-hunting.html,1711,Metropolitan,The New York Times
"As Museums Get on TikTok, the Uffizi Is an Unlikely Class Clown",2020-06-24T14:22:09+0000,https://www.nytimes.com/2020/06/24/arts/design/uffizi-museums-tiktok.html,1091,Culture,The New York Times
Last Man on the Appalachian Trail,2020-04-12T19:00:07+0000,https://www.nytimes.com/2020/04/12/opinion/coronavirus-appalachian-trail.html,1196,OpEd,The New York Times
How to Help Hurricane Laura Victims,2020-08-27T23:01:12+0000,https://www.nytimes.com/2020/08/27/us/hurricane-laura-how-to-help.html,908,Express,The New York Times
